HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR
Rennes,Marseille,1,0,12,24,5,2,1,12,2,3,1,0
Lens,Lyon,0,1,18,11,5,3,13,8,2,3,0,0
Monaco,Le Havre,3,1,13,9,3,4,5,4,0,1,0,0
Nice,Toulouse,0,1,13,10,2,2,9,4,2,3,0,0
Brest,Lille,3,3,18,10,5,6,2,2,2,1,0,0
Angers,Paris FC,1,0,8,17,2,7,3,7,2,1,1,0
Auxerre,Lorient,1,0,7,14,3,3,4,5,3,2,0,0
Metz,Strasbourg,0,1,2,9,0,4,3,3,2,2,0,0
Nantes,Paris SG,0,1,6,18,0,4,2,7,1,1,0,0
Paris SG,Angers,1,0,21,3,4,0,12,0,0,0,0,0
Marseille,Paris FC,5,2,12,8,7,4,5,2,1,0,0,0
Nice,Auxerre,3,1,16,12,6,8,5,4,2,2,0,1
Lyon,Metz,3,0,13,11,8,2,4,3,0,2,0,0
Lorient,Rennes,4,0,22,5,7,1,3,2,6,0,0,2
Le Havre,Lens,1,2,18,6,6,3,7,0,3,1,0,0
Strasbourg,Nantes,1,0,15,9,4,2,7,6,2,2,0,0
Toulouse,Brest,2,0,6,16,3,2,3,9,0,1,0,0
Lille,Monaco,1,0,18,6,1,1,8,3,1,2,0,0
Lens,Brest,3,1,30,9,10,2,15,1,1,3,0,1
Lorient,Lille,1,7,6,20,2,11,3,8,3,3,0,0
Nantes,Auxerre,1,0,4,14,3,4,3,9,1,3,0,0
Toulouse,Paris SG,3,6,14,13,6,8,5,7,1,0,0,0
Angers,Rennes,1,1,10,15,7,7,1,7,2,2,0,0
Le Havre,Nice,3,1,12,7,8,3,0,5,1,4,0,0
Monaco,Strasbourg,3,2,12,12,4,4,6,5,2,1,0,1
Paris FC,Metz,3,2,24,14,9,2,14,6,1,1,0,1
Lyon,Marseille,1,0,17,5,5,2,9,4,2,2,0,1
Marseille,Lorient,4,0,15,4,8,1,10,0,3,2,0,1
Nice,Nantes,1,0,19,14,8,3,7,4,2,0,0,0
Auxerre,Monaco,1,2,9,13,2,3,5,8,3,6,1,0
Lille,Toulouse,2,1,20,9,5,4,7,6,2,3,0,1
Brest,Paris FC,1,2,23,7,8,4,6,1,0,2,0,1
Metz,Angers,1,1,9,11,5,4,4,3,0,1,0,0
Paris SG,Lens,2,0,14,11,6,3,4,3,1,2,0,0
Strasbourg,Le Havre,1,0,9,10,7,1,4,3,2,2,1,0
Rennes,Lyon,3,1,23,8,5,5,5,4,2,2,0,1
Lyon,Angers,1,0,16,10,5,2,7,4,2,2,0,0
Nantes,Rennes,2,2,16,8,4,4,4,4,3,1,0,0
