HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR
Genoa,Lecce,0,0,5,7,2,0,3,7,2,3,0,0
Sassuolo,Napoli,0,2,7,13,2,4,1,2,3,1,1,0
Milan,Cremonese,1,2,24,4,6,3,9,2,1,4,0,0
Roma,Bologna,1,0,14,10,4,2,2,4,1,1,0,0
Cagliari,Fiorentina,1,1,14,4,6,1,3,2,4,2,0,0
Como,Lazio,2,0,19,5,6,1,6,0,2,3,0,0
Atalanta,Pisa,1,1,21,11,6,2,10,4,2,0,0,0
Juventus,Parma,2,0,25,8,8,2,6,6,1,2,1,0
Udinese,Verona,1,1,14,9,4,3,5,1,3,2,0,0
Inter,Torino,5,0,20,12,9,4,6,5,0,0,0,0
Cremonese,Sassuolo,3,2,11,9,6,6,5,4,2,2,0,0
Lecce,Milan,0,2,7,14,2,6,4,5,1,0,0,0
Bologna,Como,1,0,15,13,2,2,7,4,4,3,0,0
Parma,Atalanta,1,1,7,11,3,3,1,2,2,2,0,0
Napoli,Cagliari,1,0,20,10,6,1,13,0,2,1,0,0
Pisa,Roma,0,1,7,10,3,5,1,7,2,1,0,0
Genoa,Juventus,0,1,10,13,1,3,3,4,1,2,0,0
Torino,Fiorentina,0,0,7,16,4,4,7,3,2,2,0,0
Inter,Udinese,1,2,16,10,4,5,13,2,1,3,0,0
Lazio,Verona,4,0,22,12,6,4,8,1,0,0,0,0
Cagliari,Parma,2,0,12,17,5,5,4,5,3,1,0,0
Juventus,Inter,4,3,12,18,4,4,5,9,2,1,0,0
Fiorentina,Napoli,1,3,19,14,3,9,8,5,0,0,0,0
Roma,Torino,0,1,22,8,5,4,7,4,2,3,0,0
Atalanta,Lecce,4,1,19,12,8,3,8,2,0,0,0,0
Pisa,Udinese,0,1,12,13,2,3,8,6,1,2,0,0
Sassuolo,Lazio,1,0,10,13,3,3,3,7,6,3,0,0
Milan,Bologna,1,0,14,5,3,0,7,4,3,2,0,0
Verona,Cremonese,0,0,20,6,9,2,10,1,2,1,0,0
Como,Genoa,1,1,13,13,4,6,0,8,2,2,1,0
Lecce,Cagliari,1,2,11,15,5,6,4,7,2,3,0,0
Bologna,Genoa,2,1,14,7,6,4,8,2,1,5,0,0
Verona,Juventus,1,1,14,10,4,4,5,3,3,3,0,0
Udinese,Milan,0,3,10,13,4,6,1,4,2,0,0,0
Lazio,Roma,0,1,10,13,2,6,3,6,1,1,2,0
Cremonese,Parma,0,0,3,15,1,3,3,3,1,0,0,0
Torino,Atalanta,0,3,11,9,5,5,1,0,0,0,0,0
Fiorentina,Como,1,2,8,19,1,7,2,6,4,3,0,0
Inter,Sassuolo,2,1,20,9,6,5,7,3,2,1,0,0
Napoli,Pisa,3,2,18,15,6,6,5,3,1,2,0,0
Como,Cremonese,1,1,14,9,6,2,4,3,3,4,1,0
Juventus,Atalanta,1,1,24,12,10,2,14,5,0,3,0,1
Cagliari,Inter,0,2,6,20,0,5,4,4,0,2,0,0
Sassuolo,Udinese,3,1,11,12,5,5,1,5,0,3,0,0
Pisa,Fiorentina,0,0,11,14,1,2,4,6,0,1,0,0
Roma,Verona,2,0,10,12,5,3,8,1,0,4,0,0
Lecce,Bologna,2,2,12,14,4,5,3,9,4,2,0,0
Milan,Napoli,2,1,6,19,3,7,1,7,1,0,1,0
Parma,Torino,2,1,13,15,2,4,4,3,3,3,0,0
Genoa,Lazio,0,3,17,10,5,6,6,0,5,1,0,0
Verona,Sassuolo,0,1,17,11,9,3,4,2,2,2,0,0
Lazio,Torino,3,3,9,16,4,8,3,5,3,3,0,0
Parma,Lecce,0,1,10,7,2,3,4,9,1,2,0,0
Inter,Cremonese,4,1,27,3,9,2,13,1,1,1,0,0
Atalanta,Como,1,1,16,12,4,4,8,3,1,3,0,0
Udinese,Cagliari,1,1,23,8,4,2,7,2,1,2,0,0
Bologna,Pisa,4,0,24,2,7,0,2,2,0,1,0,1
Fiorentina,Roma,1,2,11,8,3,3,3,4,2,3,0,0
Napoli,Genoa,2,1,12,6,5,1,7,5,1,3,0,0
Juventus,Milan,0,0,12,13,3,4,6,0,2,2,0,0
Lecce,Sassuolo,0,0,11,9,2,2,6,4,2,2,0,0
Pisa,Verona,0,0,7,15,0,3,3,8,4,2,0,0
Torino,Napoli,1,0,12,22,2,5,3,11,1,2,0,0
Roma,Inter,0,1,15,12,5,3,4,5,4,3,0,0
Como,Juventus,2,0,12,15,6,3,4,1,3,1,0,0
Cagliari,Bologna,0,2,4,10,3,7,2,7,1,3,0,0
Genoa,Parma,0,0,23,1,7,0,3,0,2,5,0,1
Atalanta,Lazio,0,0,16,4,6,1,7,1,4,0,0,0
Milan,Fiorentina,2,1,14,5,4,1,1,3,3,3,0,0
Cremonese,Udinese,1,1,11,8,4,1,5,4,4,2,0,0
Milan,Pisa,2,2,20,8,7,2,6,2,1,3,0,0
Parma,Como,0,0,10,6,3,2,3,3,0,1,0,0
Udinese,Lecce,3,2,8,13,4,3,4,9,2,2,0,0
